"juz","no_ayat","kata","label"
"2","24","bagi","O"
"2","24","orang-orang","B-PER"
"2","24","kafir","I-PER"
"2","25","Dan","O"
"2","25","sampaikanlah","O"
"2","25","berita","O"
"2","25","gembira","O"
"2","25","kepada","O"
"2","25","mereka","O"
"2","25","yang","O"
"2","25","beriman","O"
"2","25","dan","O"
"2","25","berbuat","O"
"2","25","baik","O"
"2","25","bahwa","O"
"2","25","bagi","O"
"2","25","mereka","O"
"2","25","disediakan","O"
"2","25","surga-surga","O"
"2","25","yang","O"
"2","25","mengalir","O"
"2","25","sungai-sungai","O"
"2","25","di","O"
"2","25","dalamnya","O"
"2","25","Setiap","O"
"2","25","mereka","O"
"2","25","diberi","O"
"2","25","rezeki","O"
"2","25","buah-buahan","O"
"2","25","dalam","O"
"2","25","surga-surga","O"
"2","25","itu","O"
"2","25","mereka","O"
"2","25","mengatakan","O"
"2","25","Inilah","O"
"2","25","yang","O"
"2","25","pernah","O"
"2","25","diberikan","O"
"2","25","kepada","O"
"2","25","kami","O"
"2","25","dahulu","O"
"2","25","Mereka","O"
"2","25","diberi","O"
"2","25","buah-buahan","O"
"2","25","yang","O"
"2","25","serupa","O"
"2","25","dan","O"
"2","25","untuk","O"
"2","25","mereka","O"
"2","25","di","O"
"2","25","dalamnya","O"
"2","25","ada","O"
"2","25","isteri-isteri","O"
"2","25","yang","O"
"2","25","suci","O"
"2","25","dan","O"
"2","25","mereka","O"
"2","25","kekal","O"
"2","25","di","O"
"2","25","dalamnya","O"
"2","26","Sesungguhnya","O"
"2","26","Allah","O"
"2","26","tiada","O"
"2","26","segan","O"
"2","26","membuat","O"
"2","26","perumpamaan","O"
"2","26","berupa","O"
"2","26","nyamuk","O"
"2","26","atau","O"
"2","26","yang","O"
"2","26","lebih","O"
"2","26","rendah","O"
"2","26","dari","O"
"2","26","itu","O"
"2","26","Adapun","O"
"2","26","orang-orang","B-PER"
"2","26","yang","I-PER"
"2","26","beriman","I-PER"
"2","26","maka","O"
"2","26","mereka","O"
"2","26","yakin","O"
"2","26","bahwa","O"
"2","26","perumpamaan","O"
"2","26","itu","O"
"2","26","benar","O"
"2","26","dari","O"
"2","26","Tuhan","O"
"2","26","mereka","O"
"2","26","tetapi","O"
"2","26","mereka","B-PER"
"2","26","yang","I-PER"
"2","26","kafir","I-PER"
"2","26","mengatakan","O"
"2","26","Apakah","O"
"2","26","maksud","O"
"2","26","Allah","O"
"2","26","menjadikan","O"
"2","26","ini","O"
"2","26","untuk","O"
"2","26","perumpamaan","O"
"2","26","Dengan","O"
"2","26","perumpamaan","O"
"2","26","itu","O"
"2","26","banyak","O"
"2","26","orang","B-PER"
"2","26","yang","I-PER"
"2","26","disesatkan","I-PER"
"2","26","Allah","I-PER"
"2","26","dan","O"
"2","26","dengan","O"
"2","26","perumpamaan","O"
"2","26","itu","O"
"2","26","pula","O"
"2","26","banyak","O"
"2","26","orang","O"
"2","26","yang","O"
"2","26","diberi-Nya","O"
"2","26","petunjuk","O"
"2","26","Dan","O"
"2","26","tidak","O"
"2","26","ada","O"
"2","26","yang","O"
"2","26","disesatkan","O"
"2","26","Allah","O"
"2","26","kecuali","O"
"2","26","orang-orang","B-PER"
"2","26","yang","I-PER"
"2","26","fasik","I-PER"
"2","27","yaitu","O"
"2","27","orang-orang","B-PER"
"2","27","yang","I-PER"
"2","27","melanggar","I-PER"
"2","27","perjanjian","I-PER"
"2","27","Allah","I-PER"
"2","27","sesudah","O"
"2","27","perjanjian","O"
"2","27","itu","O"
"2","27","teguh","O"
"2","27","dan","O"
"2","27","memutuskan","O"
"2","27","apa","O"
"2","27","yang","O"
"2","27","diperintahkan","O"
"2","27","Allah","O"
"2","27","kepada","O"
"2","27","mereka","O"
"2","27","untuk","O"
"2","27","menghubungkannya","O"
"2","27","dan","O"
"2","27","membuat","O"
"2","27","kerusakan","O"
"2","27","di","O"
"2","27","muka","O"
"2","27","bumi","O"
"2","27","Mereka","O"
"2","27","itulah","O"
"2","27","orang-orang","B-PER"
"2","27","yang","I-PER"
"2","27","rugi","I-PER"
"2","28","Mengapa","O"
"2","28","kamu","O"
"2","28","kafir","O"
"2","28","kepada","O"
"2","28","Allah","O"
"2","28","padahal","O"
"2","28","kamu","O"
"2","28","tadinya","O"
"2","28","mati","O"
"2","28","lalu","O"
"2","28","Allah","O"
"2","28","menghidupkan","O"
"2","28","kamu","O"
"2","28","kemudian","O"
"2","28","kamu","O"
"2","28","dimatikan","O"
"2","28","dan","O"
"2","28","dihidupkan-Nya","O"
"2","28","kembali","O"
"2","28","kemudian","O"
"2","28","kepada-Nya-lah","O"
"2","28","kamu","O"
"2","28","dikembalikan","O"
"2","29","Dialah","O"
"2","29","Allah","O"
"2","29","yang","O"
"2","29","menjadikan","O"
"2","29","segala","O"
"2","29","yang","O"
"2","29","ada","O"
"2","29","di","O"
"2","29","bumi","O"
"2","29","untuk","O"
"2","29","kamu","O"
"2","29","dan","O"
"2","29","Dia","O"
"2","29","berkehendak","O"
"2","29","menciptakan","O"
"2","29","langit","O"
"2","29","lalu","O"
"2","29","dijadikan-Nya","O"
"2","29","tujuh","O"
"2","29","langit","O"
"2","29","Dan","O"
"2","29","Dia","O"
"2","29","Maha","O"
"2","29","Mengetahui","O"
"2","29","segala","O"
"2","29","sesuatu","O"
"2","30","Ingatlah","O"
"2","30","ketika","O"
"2","30","Tuhanmu","O"
"2","30","berfirman","O"
"2","30","kepada","O"
"2","30","para","O"
"2","30","Malaikat","O"
"2","30","Sesungguhnya","O"
"2","30","Aku","O"
"2","30","hendak","O"
"2","30","menjadikan","O"
"2","30","seorang","B-PER"
"2","30","khalifah","I-PER"
"2","30","di","O"
"2","30","muka","O"
"2","30","bumi","O"
"2","30","Mereka","O"
"2","30","berkata","O"
"2","30","Mengapa","O"
"2","30","Engkau","O"
"2","30","hendak","O"
"2","30","menjadikan","O"
"2","30","khalifah","O"
"2","30","di","O"
"2","30","bumi","O"
"2","30","itu","O"
"2","30","orang","B-PER"
"2","30","yang","I-PER"
"2","30","akan","I-PER"
"2","30","membuat","I-PER"
"2","30","kerusakan","I-PER"
"2","30","padanya","I-PER"
"2","30","dan","O"
"2","30","menumpahkan","O"
"2","30","darah","O"
"2","30","padahal","O"
"2","30","kami","O"
"2","30","senantiasa","O"
"2","30","bertasbih","O"
"2","30","dengan","O"
"2","30","memuji","O"
"2","30","Engkau","O"
"2","30","dan","O"
"2","30","mensucikan","O"
"2","30","Engkau","O"
"2","30","Tuhan","O"
"2","30","berfirman","O"
"2","30","Sesungguhnya","O"
"2","30","Aku","O"
"2","30","mengetahui","O"
"2","30","apa","O"
"2","30","yang","O"
"2","30","tidak","O"
"2","30","kamu","O"
"2","30","ketahui","O"
"2","31","Dan","O"
"2","31","Dia","O"
"2","31","mengajarkan","O"
"2","31","kepada","O"
"2","31","Adam","B-PER"
"2","31","nama-nama","O"
"2","31","benda-benda","O"
"2","31","seluruhnya","O"
"2","31","kemudian","O"
"2","31","mengemukakannya","O"
"2","31","kepada","O"
"2","31","para","O"
"2","31","Malaikat","O"
"2","31","lalu","O"
"2","31","berfirman","O"
"2","31","Sebutkanlah","O"
"2","31","kepada-Ku","O"
"2","31","nama","O"
"2","31","benda-benda","O"
"2","31","itu","O"
"2","31","jika","O"
"2","31","kamu","O"
"2","31","mamang","O"
"2","31","benar","O"
"2","31","orang-orang","B-PER"
"2","31","yang","I-PER"
"2","31","benar","I-PER"
"2","32","Mereka","O"
"2","32","menjawab","O"
"2","32","Maha","O"
"2","32","Suci","O"
"2","32","Engkau","O"
"2","32","tidak","O"
"2","32","ada","O"
"2","32","yang","O"
"2","32","kami","O"
"2","32","ketahui","O"
"2","32","selain","O"
"2","32","dari","O"
"2","32","apa","O"
"2","32","yang","O"
"2","32","telah","O"
"2","32","Engkau","O"
"2","32","ajarkan","O"
"2","32","kepada","O"
"2","32","kami","O"
"2","32","sesungguhnya","O"
"2","32","Engkaulah","O"
"2","32","Yang","O"
"2","32","Maha","O"
"2","32","Mengetahui","O"
"2","32","lagi","O"
"2","32","Maha","O"
"2","32","Bijaksana","O"
"2","33","Allah","O"
"2","33","berfirman","O"
"2","33","Hai","O"
"2","33","Adam","B-PER"
"2","33","beritahukanlah","O"
"2","33","kepada","O"
"2","33","mereka","O"
"2","33","nama-nama","O"
"2","33","benda","O"
"2","33","ini","O"
"2","33","Maka","O"
"2","33","setelah","O"
"2","33","diberitahukannya","O"
"2","33","kepada","O"
"2","33","mereka","O"
"2","33","nama-nama","O"
"2","33","benda","O"
"2","33","itu","O"
"2","33","Allah","O"
"2","33","berfirman","O"
"2","33","Bukankah","O"
"2","33","sudah","O"
"2","33","Ku-katakan","O"
"2","33","kepadamu","O"
"2","33","bahwa","O"
"2","33","sesungguhnya","O"
"2","33","Aku","O"
"2","33","mengetahui","O"
"2","33","rahasia","O"
"2","33","langit","O"
"2","33","dan","O"
"2","33","bumi","O"
"2","33","dan","O"
"2","33","mengetahui","O"
"2","33","apa","O"
"2","33","yang","O"
"2","33","kamu","O"
"2","33","lahirkan","O"
"2","33","dan","O"
"2","33","apa","O"
"2","33","yang","O"
"2","33","kamu","O"
"2","33","sembunyikan","O"
"2","34","Dan","O"
"2","34","ingatlah","O"
"2","34","ketika","O"
"2","34","Kami","O"
"2","34","berfirman","O"
"2","34","kepada","O"
"2","34","para","O"
"2","34","malaikat","O"
"2","34","Sujudlah","O"
"2","34","kamu","O"
"2","34","kepada","O"
"2","34","Adam","B-PER"
"2","34","maka","O"
"2","34","sujudlah","O"
"2","34","mereka","O"
"2","34","kecuali","O"
"2","34","Iblis","O"
"2","34","ia","O"
"2","34","enggan","O"
"2","34","dan","O"
"2","34","takabur","O"
"2","34","dan","O"
"2","34","adalah","O"
"2","34","ia","O"
"2","34","termasuk","O"
"2","34","golongan","O"
"2","34","orang-orang","B-PER"
"2","34","yang","I-PER"
"2","34","kafir","I-PER"
"2","35","Dan","O"
"2","35","Kami","O"
"2","35","berfirman","O"
"2","35","Hai","O"
"2","35","Adam","B-PER"
"2","35","diamilah","O"
"2","35","oleh","O"
"2","35","kamu","O"
"2","35","dan","O"
"2","35","isterimu","O"
"2","35","surga","O"
"2","35","ini","O"
"2","35","dan","O"
"2","35","makanlah","O"
"2","35","makanan-makanannya","O"
"2","35","yang","O"
"2","35","banyak","O"
"2","35","lagi","O"
"2","35","baik","O"
"2","35","dimana","O"
"2","35","saja","O"
"2","35","yang","O"
"2","35","kamu","O"
"2","35","sukai","O"
"2","35","dan","O"
"2","35","janganlah","O"
"2","35","kamu","O"
"2","35","dekati","O"
"2","35","pohon","O"
"2","35","ini","O"
"2","35","yang","O"
"2","35","menyebabkan","O"
"2","35","kamu","O"
"2","35","termasuk","O"
"2","35","orang-orang","B-PER"
"2","35","yang","I-PER"
"2","35","zalim","I-PER"
"2","36","Lalu","O"
"2","36","keduanya","O"
"2","36","digelincirkan","O"
"2","36","oleh","O"
"2","36","syaitan","O"
"2","36","dari","O"
"2","36","surga","O"
"2","36","itu","O"
"2","36","dan","O"
"2","36","dikeluarkan","O"
"2","36","dari","O"
"2","36","keadaan","O"
"2","36","semula","O"
"2","36","dan","O"
"2","36","Kami","O"
"2","36","berfirman","O"
"2","36","Turunlah","O"
"2","36","kamu","O"
"2","36","sebagian","O"
"2","36","kamu","O"
"2","36","menjadi","O"
"2","36","musuh","O"
"2","36","bagi","O"
"2","36","yang","O"
"2","36","lain","O"
"2","36","dan","O"
"2","36","bagi","O"
"2","36","kamu","O"
"2","36","ada","O"
"2","36","tempat","O"
"2","36","kediaman","O"
"2","36","di","O"
"2","36","bumi","O"
"2","36","dan","O"
"2","36","kesenangan","O"
"2","36","hidup","O"
"2","36","sampai","O"
"2","36","waktu","O"
"2","36","yang","O"
"2","36","ditentukan","O"
"2","37","Kemudian","O"
"2","37","Adam","O"
"2","37","menerima","O"
"2","37","beberapa","O"
"2","37","kalimat","O"
"2","37","dari","O"
"2","37","Tuhannya","O"
"2","37","maka","O"
"2","37","Allah","O"
"2","37","menerima","O"
"2","37","taubatnya","O"
"2","37","Sesungguhnya","O"
"2","37","Allah","O"
"2","37","Maha","O"
"2","37","Penerima","O"
"2","37","taubat","O"
"2","37","lagi","O"
"2","37","Maha","O"
"2","37","Penyayang","O"
"2","38","Kami","O"
"2","38","berfirman","O"
"2","38","Turunlah","O"
"2","38","kamu","O"
"2","38","semuanya","O"
"2","38","dari","O"
"2","38","surga","O"
"2","38","itu","O"
"2","38","Kemudian","O"
"2","38","jika","O"
"2","38","datang","O"
"2","38","petunjuk-Ku","O"
"2","38","kepadamu","O"
"2","38","maka","O"
"2","38","barang","O"
"2","38","siapa","O"
"2","38","yang","O"
"2","38","mengikuti","O"
"2","38","petunjuk-Ku","O"
"2","38","niscaya","O"
